cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
26,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.091177,0.000000
27,0.000000,10.092669,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
28,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
29,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
30,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
31,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
32,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.097017,0.000000
33,0.000000,10.098142,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
34,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
35,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
36,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
37,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
38,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.101039,0.000000
39,0.000000,10.102284,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
40,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
41,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
42,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
43,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
44,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.098991,0.000000
45,0.000000,10.098266,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
46,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
47,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
48,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
49,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
50,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.093186,0.000000
51,0.000000,10.093331,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
52,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
53,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
54,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
55,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
56,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.087470,0.000000
57,0.000000,10.084915,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
58,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
59,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
60,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
61,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
62,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.079578,0.000000
63,0.000000,10.077219,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
64,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
65,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
66,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
67,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
68,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.073486,0.000000
69,0.000000,10.071027,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
70,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
71,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
72,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
73,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
74,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.072770,0.000000
75,0.000000,10.071081,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
76,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
77,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
78,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
79,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
80,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.073855,0.000000
81,0.000000,10.073296,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
82,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
83,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
84,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
85,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
86,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.077020,0.000000
87,0.000000,10.073596,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
88,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
89,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
90,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
91,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
92,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.079233,0.000000
93,0.000000,10.081367,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
94,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
95,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
96,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
97,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
98,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.084809,0.000000
99,0.000000,10.083093,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
100,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
101,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
102,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
103,0.000000,14.142136,14.142136,14.142136,14.142136,13.875603,14.142136,14.142136,14.142136,0.000000
104,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.083650,0.000000
105,0.000000,10.082896,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
106,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
107,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
108,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
109,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
110,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.084068,0.000000
111,0.000000,10.080479,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
112,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
113,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
114,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
115,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
116,0.000000,10.440307,14.050608,14.142136,14.142136,14.142136,14.142136,14.142136,10.079166,0.000000
117,0.000000,10.082484,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
118,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
119,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
120,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
121,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
122,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.077618,0.000000
123,0.000000,10.077251,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
124,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
125,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
126,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
127,0.000000,10.076674,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
128,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.074938,0.000000
129,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
130,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
131,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
132,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
133,0.000000,10.077996,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
134,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.077966,0.000000
135,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
136,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
137,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
138,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
139,0.000000,10.085413,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
140,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.086333,0.000000
141,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
142,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
143,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
144,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
145,0.000000,10.092521,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
146,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.093627,0.000000
147,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
148,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
149,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
150,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
151,0.000000,10.099972,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
152,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.105356,0.000000
153,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
154,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
155,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
156,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
157,0.000000,10.105936,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
158,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.113271,0.000000
159,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
160,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
161,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
162,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
163,0.000000,10.115307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
164,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.112928,0.000000
165,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
166,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
167,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
168,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
169,0.000000,10.111139,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
170,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.108417,0.000000
171,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
172,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
173,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
174,0.000000,7.499967,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
175,0.000000,0.900378,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
176,0.000000,0.373965,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.097516,0.000000
177,0.000000,0.352792,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
178,0.000000,0.372816,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
179,0.000000,0.377735,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
180,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
181,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
182,0.000000,10.092449,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.092552,0.000000
183,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
184,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
185,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
186,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
187,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
188,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.095210,0.000000
189,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
190,0.000000,10.096378,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
191,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
192,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
193,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
194,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.086194,0.000000
195,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
196,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
197,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
198,0.000000,10.079793,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
199,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
200,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.079264,0.000000
201,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
202,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
203,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
204,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
205,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
206,0.000000,10.096665,14.142136,14.142136,14.142136,10.001546,14.142136,14.142136,10.096200,0.000000
207,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
208,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
209,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
210,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
211,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
212,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.138979,0.000000
213,0.000000,10.440307,14.142136,13.854968,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
214,0.000000,10.161082,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
215,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
216,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
217,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
218,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.198138,0.000000
219,0.000000,10.202323,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
220,0.000000,10.125100,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
221,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
222,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
223,0.000000,10.238307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
224,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.239609,0.000000
225,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
226,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
227,0.000000,10.248039,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
228,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
229,0.000000,13.347583,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
230,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.243716,0.000000
231,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
232,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
233,0.000000,10.171979,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
234,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
235,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
236,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.240685,0.000000
237,0.000000,10.195198,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
238,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
239,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
240,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
241,0.000000,0.503959,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
242,0.000000,0.518441,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.246660,0.000000
243,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
244,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
245,0.000000,0.509948,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
246,0.000000,0.539407,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
247,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
248,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.257289,0.000000
249,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
250,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
251,0.000000,10.272414,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
252,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
253,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
254,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.273212,0.000000
255,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
256,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
257,0.000000,10.269645,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
258,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
259,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
260,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.238537,0.000000
261,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
262,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
263,0.000000,10.218940,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
264,0.000000,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.440307,0.000000
265,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,0.000000
266,0.000000,10.440307,14.142136,14.142136,14.142136,14.142136,14.142136,14.142136,10.193341,0.000000
